,LAT,LON,SITE_NAME,YEAR_OBS,MONSOON,POSTMONSOONKHARIF,POSTMONSOONRABI,PREMONSOON
252,28.62916667,77.2375,Parsi Dharamsala,2000,5.74,12.801999999999998,5.25,5.4
253,28.59027778,77.2125,Safdarganj Tomb,2000,12.674181034482759,13.4,13.49,14.95
254,28.63194444,77.19861111,Birla Mandir,2000,6.01,8.66,3.81,6.66
255,28.60138889,77.225,South Block,2000,12.5,10.43,12.725819672131147,12.42
256,28.60611111,77.21,Nehru Park,2000,18.49,12.801999999999998,15.73,17.94
257,28.61666667,77.21388889,Rail Bhavan,2000,4.97,5.68,6.35,6.88
258,28.6125,77.225,India Gate,1999,4.19,4.11,3.55,4.35
259,28.59027778,77.2125,Safdarganj Tomb,1999,9.03,16.25,8.93,10.35
260,28.62916667,77.2375,Parsi Dharamsala,1999,5.45,5.3,5.0,5.2
261,28.60138889,77.225,South Block,1999,9.92,11.6,8.05,10.1
262,28.61666667,77.21388889,Rail Bhavan,1999,5.64,6.8,4.2,5.4
263,28.59027778,77.18416667,Shanti Path,1999,18.58,18.93,17.49,18.29
264,28.63194444,77.19861111,Birla Mandir,1999,2.01,4.91,5.81,7.31
265,28.60416667,77.175,Mahabir Vansth.,1999,12.674181034482759,19.36,15.95,16.05
266,28.59027778,77.2125,Safdarganj Tomb,1998,12.43,7.04,12.725819672131147,11.28
267,28.60416667,77.175,Mahabir Vansth.,1998,17.55,16.85,16.35,17.42
268,28.60138889,77.225,South Block,1998,10.44,9.3,10.7,10.94
269,28.62916667,77.2375,Parsi Dharamsala,1998,4.6,4.7,4.95,5.36
270,28.59027778,77.18416667,Shanti Path,1998,17.49,17.89,16.89,19.99
271,28.6125,77.225,India Gate,1998,3.52,3.39,3.44,4.32
272,28.63194444,77.19861111,Birla Mandir,1998,2.63,3.61,4.51,7.51
273,28.61666667,77.21388889,Rail Bhavan,1998,4.25,3.52,4.5,5.08
274,28.61666667,77.21388889,Rail Bhavan,1997,4.34,4.4,3.68,4.12
275,28.62916667,77.2375,Parsi Dharamsala,1997,4.9,5.1,4.83,4.98
276,28.60416667,77.175,Mahabir Vansth.,1997,15.87,16.4,12.725819672131147,13.05
277,28.59027778,77.18416667,Shanti Path,1997,17.68,17.49,12.725819672131147,20.89
278,28.6125,77.225,India Gate,1997,3.44,3.02,3.09,3.56
279,28.60138889,77.225,South Block,1997,9.0,9.32,7.34,8.25
280,28.63194444,77.19861111,Birla Mandir,1997,6.51,12.801999999999998,3.77,7.91
281,28.59027778,77.2125,Safdarganj Tomb,1997,7.08,4.5,12.725819672131147,7.83
282,28.59027778,77.18416667,Shanti Path,1996,20.58,18.27,19.66,20.79
283,28.62916667,77.2375,Parsi Dharamsala,1996,4.32,4.65,4.94,5.15
284,28.63194444,77.19861111,Birla Mandir,1996,1.37,3.83,5.34,4.91
285,28.60416667,77.175,Mahabir Vansth.,1996,12.674181034482759,15.59,12.725819672131147,13.93764044943821
286,28.60138889,77.225,South Block,1996,5.03,6.14,12.725819672131147,13.93764044943821
287,28.59027778,77.2125,Safdarganj Tomb,1996,4.65,4.63,6.03,22.5
288,28.61666667,77.21388889,Rail Bhavan,1996,2.31,3.0,12.725819672131147,13.93764044943821
